"report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"170166","2017-01-01 00:01:00","124","8300"," ","CAM DEL ORO"," "," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170101","2017-01-01 00:01:00","322","6400"," ","CRAWFORD","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170218","2017-01-01 00:01:00","325","8100"," ","ROYAL GORGE","DRIVE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170082","2017-01-01 00:01:00","935","5500"," ","VALERIO","TRAIL"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170097","2017-01-01 01:00:00","521","1000"," ","11TH","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170220","2017-01-01 01:00:00","524","1000"," ","A","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170153","2017-01-01 01:18:00","437","2600"," ","RAMFOS","PLACE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"170035","2017-01-01 01:53:00","935","3900"," ","DE LA VALLE"," "," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170044","2017-01-01 01:58:00","115","9100"," ","SYDNEY","COURT"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170042","2017-01-01 02:00:00","122","1600"," ","HORNBLEND","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170041","2017-01-01 02:00:00","122","900"," ","EMERALD","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","MISDEMEANOR"
"170139","2017-01-01 02:03:00","434","0"," ","IMPERIAL","AVENUE"," "," VIEWCREST DR","DRIVE","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"170090","2017-01-01 04:10:00","813","2900"," ","LAUREL","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170073","2017-01-01 04:43:00","242","10000"," ","BLACK MTN","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0",""
"170217","2017-01-01 05:26:00","823","5800"," ","UNIVERSITY","AVENUE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170074","2017-01-01 06:56:00","243","6900"," ","MIRAMAR","ROAD"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170118","2017-01-01 11:25:00","123","2500"," ","INGRAHAM","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170067","2017-01-01 11:37:00","123","2400","W","MISSION BAY","DRIVE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170316","2017-01-01 12:30:00","813","2800"," ","EL CAJON","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170045","2017-01-01 13:00:00","111","3200"," ","ASHFORD","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170068","2017-01-01 13:03:00","122","1100"," ","GARNET","AVENUE"," "," "," ","22517","VC","OPENING AND CLOSING DOORS","1","0",""
"170251","2017-01-01 13:16:00","832","4300"," ","EL CAJON","BOULEVARD"," "," "," ","22450(A)","VC","STOP REQUIREMENTS STATE STOP LINE","1","0",""
"170096","2017-01-01 15:30:00","512","2800"," ","IMPERIAL","AVENUE"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0","FELONY"
